Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Austin Slater (39001163),Austin Slater,39001163,OF,2300,CWS@BAL 05/31/2025 04:05PM ET,CWS,4.5
1B/3B,Coby Mayo (39001263),Coby Mayo,39001263,1B/3B,2300,CWS@BAL 05/31/2025 04:05PM ET,BAL,1.25
OF,Brooks Baldwin (39001265),Brooks Baldwin,39001265,OF,2300,CWS@BAL 05/31/2025 04:05PM ET,CWS,4.34
OF,Jhonkensy Noel (39001166),Jhonkensy Noel,39001166,OF,2300,LAA@CLE 05/31/2025 04:10PM ET,CLE,2.77
SS,Brayan Rocchio (39001262),Brayan Rocchio,39001262,SS,2300,LAA@CLE 05/31/2025 04:10PM ET,CLE,3.17
OF,Gustavo Campero (39001266),Gustavo Campero,39001266,OF,2300,LAA@CLE 05/31/2025 04:10PM ET,LAA,3.4
2B,Adael Amador (39001167),Adael Amador,39001167,2B,2300,COL@NYM 05/31/2025 04:10PM ET,COL,3.03
C,Braxton Fulford (39001267),Braxton Fulford,39001267,C,2300,COL@NYM 05/31/2025 04:10PM ET,COL,3.5
OF,Jose Siri (39001269),Jose Siri,39001269,OF,2300,COL@NYM 05/31/2025 04:10PM ET,NYM,3.5
SS,Joey Ortiz (39001165),Joey Ortiz,39001165,SS,2300,MIL@PHI 05/31/2025 04:05PM ET,MIL,3.96
3B,Oliver Dunn (39001268),Oliver Dunn,39001268,3B,2300,MIL@PHI 05/31/2025 04:05PM ET,MIL,3.64
2B,Mauricio Dubon (39001160),Mauricio Dubon,39001160,2B,2300,TB@HOU 05/31/2025 04:10PM ET,HOU,4.14
3B,Shay Whitcomb (39001270),Shay Whitcomb,39001270,3B,2300,TB@HOU 05/31/2025 04:10PM ET,HOU,0
C,Jake Rogers (39001162),Jake Rogers,39001162,C,2300,DET@KC 05/31/2025 04:10PM ET,DET,3.3
C,Sam Huff (39001164),Sam Huff,39001164,C,2300,SF@MIA 05/31/2025 04:10PM ET,SF,3.95
1B,Nick Sogard (39001170),Nick Sogard,39001170,1B,2200,BOS@ATL 05/31/2025 04:10PM ET,BOS,5
1B,Ryan Noda (39001271),Ryan Noda,39001271,1B,2200,BOS@ATL 05/31/2025 04:10PM ET,BOS,0
2B,Vaughn Grissom (39001273),Vaughn Grissom,39001273,2B,2200,BOS@ATL 05/31/2025 04:10PM ET,BOS,0
C,Korey Lee (39001178),Korey Lee,39001178,C,2200,CWS@BAL 05/31/2025 04:05PM ET,CWS,3.8
C,Yohel Pozo (39001168),Yohel Pozo,39001168,C,2200,STL@TEX 05/31/2025 04:05PM ET,STL,4.94
1B,Blaine Crim (39001275),Blaine Crim,39001275,1B,2200,STL@TEX 05/31/2025 04:05PM ET,TEX,1.2
2B/3B,Jose Fermin (39001277),Jose Fermin,39001277,2B/3B,2200,STL@TEX 05/31/2025 04:05PM ET,STL,0
